league,season,team,player,nation,pos,age,born,playing time_mp,playing time_starts,playing time_min,playing time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per 90 minutes_gls,per 90 minutes_ast,per 90 minutes_g+a,per 90 minutes_g-pk,per 90 minutes_g+a-pk,_key,league__shooting,season__shooting,team__shooting,player__shooting,nation__shooting,pos__shooting,age__shooting,born__shooting,90s__shooting,standard_gls__shooting,standard_sh__shooting,standard_sot__shooting,standard_sot%__shooting,standard_sh/90__shooting,standard_sot/90__shooting,standard_g/sh__shooting,standard_g/sot__shooting,standard_pk__shooting,standard_pkatt__shooting,league__keeper,season__keeper,team__keeper,player__keeper,nation__keeper,pos__keeper,age__keeper,born__keeper,playing time_mp__keeper,playing time_starts__keeper,playing time_min__keeper,playing time_90s__keeper,performance_ga__keeper,performance_ga90__keeper,performance_sota__keeper,performance_saves__keeper,performance_save%__keeper,performance_w__keeper,performance_d__keeper,performance_l__keeper,performance_cs__keeper,performance_cs%__keeper,penalty kicks_pkatt__keeper,penalty kicks_pka__keeper,penalty kicks_pksv__keeper,penalty kicks_pkm__keeper,penalty kicks_save%__keeper,league__playing_time,season__playing_time,team__playing_time,player__playing_time,nation__playing_time,pos__playing_time,age__playing_time,born__playing_time,playing time_mp__playing_time,playing time_min__playing_time,playing time_mn/mp__playing_time,playing time_min%__playing_time,playing time_90s__playing_time,starts_starts__playing_time,starts_mn/start__playing_time,starts_compl__playing_time,subs_subs__playing_time,subs_mn/sub__playing_time,subs_unsub__playing_time,team success_ppm__playing_time,team success_ong__playing_time,team success_onga__playing_time,team success_+/-__playing_time,team success_+/-90__playing_time,team success_on-off__playing_time,league__misc,season__misc,team__misc,player__misc,nation__misc,pos__misc,age__misc,born__misc,90s__misc,performance_crdy__misc,performance_crdr__misc,performance_2crdy__misc,performance_fls__misc,performance_fld__misc,performance_off__misc,performance_crs__misc,performance_int__misc,performance_tklw__misc,performance_pkwon__misc,performance_pkcon__misc,performance_og__misc,country,league_tier,club_league_difficulty
INT-Champions League,2526,Barcelona,Marc Bernal,ESP,MF,18-339,2007,6,2,243,2.7,1,0,1,1,0,0,0,0,0.37,0.0,0.37,0.37,0.37,marc bernal||barcelona||2526,INT-Champions League,2526,Barcelona,Marc Bernal,ESP,MF,18-339,2007,2.7,1,2,2,100.0,0.74,0.74,0.5,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,INT-Champions League,2526,Barcelona,Marc Bernal,ESP,MF,18-339,2007,6,243,41,22.5,2.7,2,81,1,4,20,4,2.17,11,3,8,2.96,2.53,INT-Champions League,2526,Barcelona,Marc Bernal,ESP,MF,18-339,2007,2.7,0,0,0,3,3,0,0,2,1,,,0,Europe,1,5.5
INT-Champions League,2526,Barcelona,Marc Casado,ESP,MF,22-228,2003,6,2,197,2.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,marc casado||barcelona||2526,INT-Champions League,2526,Barcelona,Marc Casado,ESP,MF,22-228,2003,2.2,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,INT-Champions League,2526,Barcelona,Marc Casado,ESP,MF,22-228,2003,6,197,33,18.2,2.2,2,74,1,4,13,6,1.83,9,5,4,1.83,1.01,INT-Champions League,2526,Barcelona,Marc Casado,ESP,MF,22-228,2003,2.2,2,0,0,3,4,0,0,2,6,,,0,Europe,1,5.5
INT-Champions League,2526,Barcelona,Marcus Rashford,ENG,"MF,FW",28-181,1997,11,5,579,6.4,5,3,8,5,0,0,0,0,0.78,0.47,1.24,0.78,1.24,marcus rashford||barcelona||2526,INT-Champions League,2526,Barcelona,Marcus Rashford,ENG,"MF,FW",28-181,1997,6.4,5,30,11,36.7,4.66,1.71,0.17,0.45,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,INT-Champions League,2526,Barcelona,Marcus Rashford,ENG,"MF,FW",28-181,1997,11,579,53,53.6,6.4,5,79,1,6,31,1,1.82,18,10,8,1.24,0.52,INT-Champions League,2526,Barcelona,Marcus Rashford,ENG,"MF,FW",28-181,1997,6.4,0,0,0,4,7,2,25,1,2,,,0,Europe,1,5.5
INT-Champions League,2526,Barcelona,Pau Cubarsí,ESP,DF,19-098,2007,10,9,742,8.2,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,pau cubarsí||barcelona||2526,INT-Champions League,2526,Barcelona,Pau Cubarsí,ESP,DF,19-098,2007,8.2,0,2,1,50.0,0.24,0.12,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,INT-Champions League,2526,Barcelona,Pau Cubarsí,ESP,DF,19-098,2007,10,742,74,68.7,8.2,9,82,7,1,1,1,1.7,23,11,12,1.46,1.46,INT-Champions League,2526,Barcelona,Pau Cubarsí,ESP,DF,19-098,2007,8.2,1,1,0,7,2,0,0,10,7,,,0,Europe,1,5.5
INT-Champions League,2526,Barcelona,Pedri,ESP,MF,23-156,2002,9,9,691,7.7,0,2,2,0,0,0,0,0,0.0,0.26,0.26,0.0,0.26,pedri||barcelona||2526,INT-Champions League,2526,Barcelona,Pedri,ESP,MF,23-156,2002,7.7,0,3,2,66.7,0.39,0.26,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,INT-Champions League,2526,Barcelona,Pedri,ESP,MF,23-156,2002,9,691,77,64.0,7.7,9,77,4,0,,0,2.11,22,10,12,1.56,1.56,INT-Champions League,2526,Barcelona,Pedri,ESP,MF,23-156,2002,7.7,0,0,0,1,24,0,3,7,10,,,0,Europe,1,5.5
INT-Champions League,2526,Barcelona,Raphinha,BRA,MF,29-137,1996,7,6,544,6.0,3,2,5,2,1,1,0,0,0.5,0.33,0.83,0.33,0.66,raphinha||barcelona||2526,INT-Champions League,2526,Barcelona,Raphinha,BRA,MF,29-137,1996,6.0,3,20,10,50.0,3.31,1.65,0.1,0.2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,INT-Champions League,2526,Barcelona,Raphinha,BRA,MF,29-137,1996,7,544,78,50.4,6.0,6,86,5,1,29,0,2.29,20,9,11,1.82,1.65,INT-Champions League,2526,Barcelona,Raphinha,BRA,MF,29-137,1996,6.0,0,0,0,2,3,2,28,3,7,,,0,Europe,1,5.5
INT-Champions League,2526,Barcelona,Robert Lewandowski,POL,FW,37-252,1988,11,8,619,6.9,4,0,4,4,0,0,0,0,0.58,0.0,0.58,0.58,0.58,robert lewandowski||barcelona||2526,INT-Champions League,2526,Barcelona,Robert Lewandowski,POL,FW,37-252,1988,6.9,4,25,13,52.0,3.63,1.89,0.16,0.31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,INT-Champions League,2526,Barcelona,Robert Lewandowski,POL,FW,37-252,1988,11,619,56,57.3,6.9,8,68,1,3,25,0,1.82,19,11,8,1.16,0.38,INT-Champions League,2526,Barcelona,Robert Lewandowski,POL,FW,37-252,1988,6.9,0,0,0,5,16,5,1,0,0,,,1,Europe,1,5.5
INT-Champions League,2526,Barcelona,Ronald Araújo,URU,DF,27-054,1999,10,4,447,5.0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,ronald araújo||barcelona||2526,INT-Champions League,2526,Barcelona,Ronald Araújo,URU,DF,27-054,1999,5.0,0,6,0,0.0,1.21,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,INT-Champions League,2526,Barcelona,Ronald Araújo,URU,DF,27-054,1999,10,447,45,41.4,5.0,4,78,2,6,23,1,2.0,13,7,6,1.21,0.35,INT-Champions League,2526,Barcelona,Ronald Araújo,URU,DF,27-054,1999,5.0,2,1,1,5,0,0,1,3,7,,,0,Europe,1,5.5
INT-Champions League,2526,Barcelona,Roony Bardghji,SWE,MF,20-166,2005,5,1,88,1.0,0,1,1,0,0,0,0,0,0.0,1.02,1.02,0.0,1.02,roony bardghji||barcelona||2526,INT-Champions League,2526,Barcelona,Roony Bardghji,SWE,MF,20-166,2005,1.0,0,4,1,25.0,4.09,1.02,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,INT-Champions League,2526,Barcelona,Roony Bardghji,SWE,MF,20-166,2005,5,88,18,8.1,1.0,1,60,0,4,7,7,2.6,4,2,2,2.05,1.14,INT-Champions League,2526,Barcelona,Roony Bardghji,SWE,MF,20-166,2005,1.0,0,0,0,0,1,0,6,0,0,,,0,Europe,1,5.5
INT-Champions League,2526,Barcelona,Wojciech Szczęsny,POL,GK,36-012,1990,4,3,279,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,wojciech szczęsny||barcelona||2526,INT-Champions League,2526,Barcelona,Wojciech Szczęsny,POL,GK,36-012,1990,3.1,0,0,0,,0.0,0.0,,,0,0,INT-Champions League,2526,Barcelona,Wojciech Szczęsny,POL,GK,36-012,1990,4,3,279,3.1,6,1.94,15,10,66.7,1,1,1,0,0.0,1,1,0,0,0.0,INT-Champions League,2526,Barcelona,Wojciech Szczęsny,POL,GK,36-012,1990,4,279,70,25.8,3.1,3,90,3,1,9,8,1.75,10,6,4,1.29,0.39,INT-Champions League,2526,Barcelona,Wojciech Szczęsny,POL,GK,36-012,1990,3.1,0,0,0,0,1,0,0,0,0,,,0,Europe,1,5.5
