league,season,team,player,nation,pos,age,born,playing time_mp,playing time_starts,playing time_min,playing time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per 90 minutes_gls,per 90 minutes_ast,per 90 minutes_g+a,per 90 minutes_g-pk,per 90 minutes_g+a-pk,_key,league__shooting,season__shooting,team__shooting,player__shooting,nation__shooting,pos__shooting,age__shooting,born__shooting,90s__shooting,standard_gls__shooting,standard_sh__shooting,standard_sot__shooting,standard_sot%__shooting,standard_sh/90__shooting,standard_sot/90__shooting,standard_g/sh__shooting,standard_g/sot__shooting,standard_pk__shooting,standard_pkatt__shooting,league__keeper,season__keeper,team__keeper,player__keeper,nation__keeper,pos__keeper,age__keeper,born__keeper,playing time_mp__keeper,playing time_starts__keeper,playing time_min__keeper,playing time_90s__keeper,performance_ga__keeper,performance_ga90__keeper,performance_sota__keeper,performance_saves__keeper,performance_save%__keeper,performance_w__keeper,performance_d__keeper,performance_l__keeper,performance_cs__keeper,performance_cs%__keeper,penalty kicks_pkatt__keeper,penalty kicks_pka__keeper,penalty kicks_pksv__keeper,penalty kicks_pkm__keeper,penalty kicks_save%__keeper,league__playing_time,season__playing_time,team__playing_time,player__playing_time,nation__playing_time,pos__playing_time,age__playing_time,born__playing_time,playing time_mp__playing_time,playing time_min__playing_time,playing time_mn/mp__playing_time,playing time_min%__playing_time,playing time_90s__playing_time,starts_starts__playing_time,starts_mn/start__playing_time,starts_compl__playing_time,subs_subs__playing_time,subs_mn/sub__playing_time,subs_unsub__playing_time,team success_ppm__playing_time,team success_ong__playing_time,team success_onga__playing_time,team success_+/-__playing_time,team success_+/-90__playing_time,team success_on-off__playing_time,league__misc,season__misc,team__misc,player__misc,nation__misc,pos__misc,age__misc,born__misc,90s__misc,performance_crdy__misc,performance_crdr__misc,performance_2crdy__misc,performance_fls__misc,performance_fld__misc,performance_off__misc,performance_crs__misc,performance_int__misc,performance_tklw__misc,performance_pkwon__misc,performance_pkcon__misc,performance_og__misc,country,league_tier,club_league_difficulty
SAU-Pro League,2324,Abha,Ibrahim Al-Zubaidi,KSA,DF,34,1989,14,14,1237,13.7,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,ibrahim al-zubaidi||abha||2324,SAU-Pro League,2324,Abha,Ibrahim Al-Zubaidi,KSA,DF,34,1989,13.7,0,4,0,0.0,0.29,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAU-Pro League,2324,Abha,Ibrahim Al-Zubaidi,KSA,DF,34,1989,14,1237,88,40.4,13.7,14,88,12,0,,0,1.29,16,30,-14,-1.02,0.71,SAU-Pro League,2324,Abha,Ibrahim Al-Zubaidi,KSA,DF,34,1989,13.7,5,0,0,15,13,1,19,11,13,,,0,Saudi Arabia,2,2.7
SAU-Pro League,2324,Abha,Karl Toko Ekambi,CMR,FW,30,1992,14,13,1150,12.8,5,0,5,4,1,1,0,0,0.39,0.0,0.39,0.31,0.31,karl toko ekambi||abha||2324,SAU-Pro League,2324,Abha,Karl Toko Ekambi,CMR,FW,30,1992,12.8,5,33,11,33.3,2.58,0.86,0.12,0.36,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAU-Pro League,2324,Abha,Karl Toko Ekambi,CMR,FW,30,1992,14,1150,82,37.6,12.8,13,86,10,1,36,0,0.79,16,34,-18,-1.41,0.05,SAU-Pro League,2324,Abha,Karl Toko Ekambi,CMR,FW,30,1992,12.8,0,0,0,9,17,7,7,2,7,,,0,Saudi Arabia,2,2.7
SAU-Pro League,2324,Abha,Luka Đorđević,MNE,FW,29,1994,7,4,288,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,luka đorđević||abha||2324,SAU-Pro League,2324,Abha,Luka Đorđević,MNE,FW,29,1994,3.2,0,4,2,50.0,1.25,0.62,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAU-Pro League,2324,Abha,Luka Đorđević,MNE,FW,29,1994,7,288,41,9.4,3.2,4,65,0,3,10,1,0.71,3,7,-4,-1.25,0.21,SAU-Pro League,2324,Abha,Luka Đorđević,MNE,FW,29,1994,3.2,0,0,0,7,2,5,1,0,1,,,0,Saudi Arabia,2,2.7
SAU-Pro League,2324,Abha,Marcel Tisserand,COD,DF,30,1993,11,11,928,10.3,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,marcel tisserand||abha||2324,SAU-Pro League,2324,Abha,Marcel Tisserand,COD,DF,30,1993,10.3,0,4,1,25.0,0.39,0.1,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAU-Pro League,2324,Abha,Marcel Tisserand,COD,DF,30,1993,11,928,84,30.3,10.3,11,84,8,0,,0,1.27,11,22,-11,-1.07,0.54,SAU-Pro League,2324,Abha,Marcel Tisserand,COD,DF,30,1993,10.3,0,1,0,11,2,0,1,15,5,,,0,Saudi Arabia,2,2.7
SAU-Pro League,2324,Abha,Meshal Al Mutairi,,"MF,FW",,,19,9,799,8.9,0,3,3,0,0,0,2,0,0.0,0.34,0.34,0.0,0.34,meshal al mutairi||abha||2324,SAU-Pro League,2324,Abha,Meshal Al Mutairi,,"MF,FW",,,8.9,0,4,2,50.0,0.45,0.23,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAU-Pro League,2324,Abha,Meshal Al Mutairi,,"MF,FW",,,19,799,42,26.1,8.9,9,72,2,10,15,3,0.95,12,17,-5,-0.56,1.19,SAU-Pro League,2324,Abha,Meshal Al Mutairi,,"MF,FW",,,8.9,2,0,0,12,35,1,19,3,15,,,0,Saudi Arabia,2,2.7
SAU-Pro League,2324,Abha,Mohammed Al Kunaydiri,KSA,"MF,DF",22,2000,23,7,854,9.5,0,3,3,0,0,0,2,0,0.0,0.32,0.32,0.0,0.32,mohammed al kunaydiri||abha||2324,SAU-Pro League,2324,Abha,Mohammed Al Kunaydiri,KSA,"MF,DF",22,2000,9.5,0,1,1,100.0,0.11,0.11,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAU-Pro League,2324,Abha,Mohammed Al Kunaydiri,KSA,"MF,DF",22,2000,23,854,37,27.9,9.5,7,77,2,16,20,10,0.96,7,35,-28,-2.95,-2.09,SAU-Pro League,2324,Abha,Mohammed Al Kunaydiri,KSA,"MF,DF",22,2000,9.5,2,0,0,4,12,1,27,10,14,,,0,Saudi Arabia,2,2.7
SAU-Pro League,2324,Abha,Mohammed Al Oufi,KSA,"MF,DF",20,2002,11,4,350,3.9,0,1,1,0,0,0,0,0,0.0,0.26,0.26,0.0,0.26,mohammed al oufi||abha||2324,SAU-Pro League,2324,Abha,Mohammed Al Oufi,KSA,"MF,DF",20,2002,3.9,0,2,1,50.0,0.51,0.26,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAU-Pro League,2324,Abha,Mohammed Al Oufi,KSA,"MF,DF",20,2002,11,350,32,11.4,3.9,4,56,0,7,18,7,0.55,7,17,-10,-2.57,-1.28,SAU-Pro League,2324,Abha,Mohammed Al Oufi,KSA,"MF,DF",20,2002,3.9,0,0,0,0,5,0,30,2,4,,,0,Saudi Arabia,2,2.7
SAU-Pro League,2324,Abha,Mohammed Naji,KSA,"DF,MF",29,1993,18,16,1232,13.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,mohammed naji||abha||2324,SAU-Pro League,2324,Abha,Mohammed Naji,KSA,"DF,MF",29,1993,13.7,0,2,2,100.0,0.15,0.15,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAU-Pro League,2324,Abha,Mohammed Naji,KSA,"DF,MF",29,1993,18,1232,68,40.3,13.7,16,77,8,2,2,10,0.5,12,33,-21,-1.53,-0.16,SAU-Pro League,2324,Abha,Mohammed Naji,KSA,"DF,MF",29,1993,13.7,3,0,0,17,23,0,12,24,22,,,0,Saudi Arabia,2,2.7
SAU-Pro League,2324,Abha,Mohammed Saad Al Qahtani,KSA,MF,21,2002,4,3,287,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,mohammed saad al qahtani||abha||2324,SAU-Pro League,2324,Abha,Mohammed Saad Al Qahtani,KSA,MF,21,2002,3.2,0,4,0,0.0,1.25,0.0,0.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAU-Pro League,2324,Abha,Mohammed Saad Al Qahtani,KSA,MF,21,2002,4,287,72,9.4,3.2,3,78,1,1,54,14,1.0,5,10,-5,-1.57,-0.14,SAU-Pro League,2324,Abha,Mohammed Saad Al Qahtani,KSA,MF,21,2002,3.2,0,0,0,1,4,0,3,2,6,,,0,Saudi Arabia,2,2.7
SAU-Pro League,2324,Abha,Nasser Al Omran,KSA,MF,26,1997,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,nasser al omran||abha||2324,SAU-Pro League,2324,Abha,Nasser Al Omran,KSA,MF,26,1997,0.5,0,0,0,,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAU-Pro League,2324,Abha,Nasser Al Omran,KSA,MF,26,1997,2,48,24,1.6,0.5,0,,0,2,24,7,1.5,1,3,-2,-3.75,-2.35,SAU-Pro League,2324,Abha,Nasser Al Omran,KSA,MF,26,1997,0.5,0,0,0,3,0,0,0,1,1,,,0,Saudi Arabia,2,2.7
